Year,TotalIndividuals,TotalFemale,TotalMale,AA,Aa,aa,AAFreq,AaFreq,aaFreq,AFreq,aFreq
0,500,262,238,130,270,100,0.26,0.54,0.20,0.53,0.64
1,499,264,235,130,266,103,0.26,0.53,0.21,0.53,0.64
2,498,261,237,132,264,102,0.27,0.53,0.20,0.53,0.63
3,497,261,236,134,261,102,0.27,0.53,0.21,0.53,0.63
4,496,261,235,132,259,105,0.27,0.52,0.21,0.53,0.63
5,495,260,235,131,257,107,0.26,0.52,0.22,0.52,0.63
6,494,259,235,128,258,108,0.26,0.52,0.22,0.52,0.63
7,493,258,235,125,257,111,0.25,0.52,0.23,0.51,0.63
8,492,254,238,123,255,114,0.25,0.52,0.23,0.51,0.63
9,491,255,236,119,251,121,0.24,0.51,0.25,0.50,0.63
10,490,253,237,119,252,119,0.24,0.51,0.24,0.50,0.64
11,489,248,241,116,251,122,0.24,0.51,0.25,0.49,0.64
12,488,250,238,114,249,125,0.23,0.51,0.26,0.49,0.64
13,487,250,237,114,250,123,0.23,0.51,0.25,0.49,0.64
14,486,251,235,111,252,123,0.23,0.52,0.25,0.49,0.65
15,485,251,234,109,253,123,0.22,0.52,0.25,0.49,0.65
16,484,254,230,109,250,125,0.23,0.52,0.26,0.48,0.65
17,483,254,229,106,251,126,0.22,0.52,0.26,0.48,0.65
18,482,255,227,104,250,128,0.22,0.52,0.27,0.48,0.65
19,481,257,224,100,247,134,0.21,0.51,0.28,0.46,0.65
20,480,257,223,99,247,134,0.21,0.51,0.28,0.46,0.65
21,479,254,225,98,245,136,0.20,0.51,0.28,0.46,0.65
22,478,253,225,98,243,137,0.21,0.51,0.29,0.46,0.65
23,477,254,223,91,243,143,0.19,0.51,0.30,0.45,0.66
24,476,256,220,87,242,147,0.18,0.51,0.31,0.44,0.66
25,475,260,215,84,239,152,0.18,0.50,0.32,0.43,0.66
26,474,260,214,83,238,153,0.18,0.50,0.32,0.43,0.66
27,473,263,210,82,239,152,0.17,0.51,0.32,0.43,0.67
28,472,265,207,78,241,153,0.17,0.51,0.32,0.42,0.67
29,471,260,211,76,238,157,0.16,0.51,0.33,0.41,0.67
30,470,260,210,76,236,158,0.16,0.50,0.34,0.41,0.67
